H/T,Category,CS
ട്രാൻസ് ആളുകൾക്ക് ലൈഫ് ഒക്കെ ആക്ടിംഗ് മാത്രമാണ്. (918),Transphobic-Derogation,വിവിധത്വം അംഗീകരിക്കാൻ നമ്മൾ പഠിക്കേണ്ട സമയം കഴിഞ്ഞു. ഇപ്പോൾ ആചാരങ്ങൾക്കപ്പുറമാണ് സമൂഹം. (918)
ഇത് എന്താ പുതിയ മോഡേ? എല്ലാവരും ട്രാൻ്സ് ആകുന്നത് ഒരു ട്രെൻഡായി മാറല്ലേ! (919),Transphobic-Derogation,മറ്റുള്ളവരുടെ ലൈംഗികതയെ അപമാനിച്ച് നമ്മൾ ഏതിനാണ് നേട്ടം നേടുന്നത്? (919)
ഒരു പുരുഷൻ സ്ത്രീ വേഷത്തിൽ നടക്കുന്നത് കണ്ടാൽ ഭീതിയേ തോന്നൂ. (920),Transphobic-Derogation,ട്രാൻസ് അല്ലെങ്കിൽ ഗേ ആയാലും അവരും മനുഷ്യരാണ്. അവർക്കും അവകാശം ഉണ്ട്. (920)
ഇവർ കേവലം ശ്രദ്ധ പിടിച്ചു പിടിക്കാൻ ഇങ്ങനെ അഭിനയിക്കുന്നു. ലിംഗഭ്രാന്ത്! (921),Transphobic-Derogation,"അവരെ കുറ്റപ്പെടുത്തുന്നതിനു മുൻപ്, അവരുടെ ജീവിതം മനസ്സിലാക്കാൻ ശ്രമിച്ചിട്ടില്ലേ? (921)"
പെൺകുട്ടിയായി ജീവിക്കണമെന്ന് ഒരു ആൺകുട്ടി പറയുന്നത് ശാപം പോലെ തോന്നുന്നു. (922),Transphobic-Derogation,ഇവരോട് മാന്യതയില്ലാതെ പെരുമാറുന്നത് നമുക്ക് വേണ്ടുന്ന സംസ്‌കാരമല്ല. (922)
ട്രാൻസ് ആളുകൾക്ക് ലൈഫ് ഒക്കെ ആക്ടിംഗ് മാത്രമാണ്. (923),Transphobic-Derogation,"ഒരു വ്യക്തിയുടെ ജൻഡറും ലൈംഗികതയും അവരുടെ വ്യക്തിത്വത്തിന്റെ ഭാഗമാണ്, ആഹാരമല്ലാത്ത കാര്യങ്ങളാണ് അവ. (923)"
ഇത് എന്താ പുതിയ മോഡേ? എല്ലാവരും ട്രാൻ്സ് ആകുന്നത് ഒരു ട്രെൻഡായി മാറല്ലേ! (924),Transphobic-Derogation,സ്നേഹവും മാനവികതയും ആണല്ലോ നാം പഠിച്ചതോ? പിന്നെ എന്തിനു ഇങ്ങനെ വെറുപ്പ്? (924)
ഒരു പുരുഷൻ സ്ത്രീ വേഷത്തിൽ നടക്കുന്നത് കണ്ടാൽ ഭീതിയേ തോന്നൂ. (925),Transphobic-Derogation,വിവിധത്വം അംഗീകരിക്കാൻ നമ്മൾ പഠിക്കേണ്ട സമയം കഴിഞ്ഞു. ഇപ്പോൾ ആചാരങ്ങൾക്കപ്പുറമാണ് സമൂഹം. (925)
ഇവർ കേവലം ശ്രദ്ധ പിടിച്ചു പിടിക്കാൻ ഇങ്ങനെ അഭിനയിക്കുന്നു. ലിംഗഭ്രാന്ത്! (926),Transphobic-Derogation,മറ്റുള്ളവരുടെ ലൈംഗികതയെ അപമാനിച്ച് നമ്മൾ ഏതിനാണ് നേട്ടം നേടുന്നത്? (926)
പെൺകുട്ടിയായി ജീവിക്കണമെന്ന് ഒരു ആൺകുട്ടി പറയുന്നത് ശാപം പോലെ തോന്നുന്നു. (927),Transphobic-Derogation,ട്രാൻസ് അല്ലെങ്കിൽ ഗേ ആയാലും അവരും മനുഷ്യരാണ്. അവർക്കും അവകാശം ഉണ്ട്. (927)
ട്രാൻസ് ആളുകൾക്ക് ലൈഫ് ഒക്കെ ആക്ടിംഗ് മാത്രമാണ്. (928),Transphobic-Derogation,"അവരെ കുറ്റപ്പെടുത്തുന്നതിനു മുൻപ്, അവരുടെ ജീവിതം മനസ്സിലാക്കാൻ ശ്രമിച്ചിട്ടില്ലേ? (928)"
ഇത് എന്താ പുതിയ മോഡേ? എല്ലാവരും ട്രാൻ്സ് ആകുന്നത് ഒരു ട്രെൻഡായി മാറല്ലേ! (929),Transphobic-Derogation,ഇവരോട് മാന്യതയില്ലാതെ പെരുമാറുന്നത് നമുക്ക് വേണ്ടുന്ന സംസ്‌കാരമല്ല. (929)
ഒരു പുരുഷൻ സ്ത്രീ വേഷത്തിൽ നടക്കുന്നത് കണ്ടാൽ ഭീതിയേ തോന്നൂ. (930),Transphobic-Derogation,"ഒരു വ്യക്തിയുടെ ജൻഡറും ലൈംഗികതയും അവരുടെ വ്യക്തിത്വത്തിന്റെ ഭാഗമാണ്, ആഹാരമല്ലാത്ത കാര്യങ്ങളാണ് അവ. (930)"
ഇവർ കേവലം ശ്രദ്ധ പിടിച്ചു പിടിക്കാൻ ഇങ്ങനെ അഭിനയിക്കുന്നു. ലിംഗഭ്രാന്ത്! (931),Transphobic-Derogation,സ്നേഹവും മാനവികതയും ആണല്ലോ നാം പഠിച്ചതോ? പിന്നെ എന്തിനു ഇങ്ങനെ വെറുപ്പ്? (931)
പെൺകുട്ടിയായി ജീവിക്കണമെന്ന് ഒരു ആൺകുട്ടി പറയുന്നത് ശാപം പോലെ തോന്നുന്നു. (932),Transphobic-Derogation,വിവിധത്വം അംഗീകരിക്കാൻ നമ്മൾ പഠിക്കേണ്ട സമയം കഴിഞ്ഞു. ഇപ്പോൾ ആചാരങ്ങൾക്കപ്പുറമാണ് സമൂഹം. (932)
ട്രാൻസ് ആളുകൾക്ക് ലൈഫ് ഒക്കെ ആക്ടിംഗ് മാത്രമാണ്. (933),Transphobic-Derogation,മറ്റുള്ളവരുടെ ലൈംഗികതയെ അപമാനിച്ച് നമ്മൾ ഏതിനാണ് നേട്ടം നേടുന്നത്? (933)
ഇത് എന്താ പുതിയ മോഡേ? എല്ലാവരും ട്രാൻ്സ് ആകുന്നത് ഒരു ട്രെൻഡായി മാറല്ലേ! (934),Transphobic-Derogation,ട്രാൻസ് അല്ലെങ്കിൽ ഗേ ആയാലും അവരും മനുഷ്യരാണ്. അവർക്കും അവകാശം ഉണ്ട്. (934)
ഒരു പുരുഷൻ സ്ത്രീ വേഷത്തിൽ നടക്കുന്നത് കണ്ടാൽ ഭീതിയേ തോന്നൂ. (935),Transphobic-Derogation,"അവരെ കുറ്റപ്പെടുത്തുന്നതിനു മുൻപ്, അവരുടെ ജീവിതം മനസ്സിലാക്കാൻ ശ്രമിച്ചിട്ടില്ലേ? (935)"
ഇവർ കേവലം ശ്രദ്ധ പിടിച്ചു പിടിക്കാൻ ഇങ്ങനെ അഭിനയിക്കുന്നു. ലിംഗഭ്രാന്ത്! (936),Transphobic-Derogation,ഇവരോട് മാന്യതയില്ലാതെ പെരുമാറുന്നത് നമുക്ക് വേണ്ടുന്ന സംസ്‌കാരമല്ല. (936)
പെൺകുട്ടിയായി ജീവിക്കണമെന്ന് ഒരു ആൺകുട്ടി പറയുന്നത് ശാപം പോലെ തോന്നുന്നു. (937),Transphobic-Derogation,"ഒരു വ്യക്തിയുടെ ജൻഡറും ലൈംഗികതയും അവരുടെ വ്യക്തിത്വത്തിന്റെ ഭാഗമാണ്, ആഹാരമല്ലാത്ത കാര്യങ്ങളാണ് അവ. (937)"
ട്രാൻസ് ആളുകൾക്ക് ലൈഫ് ഒക്കെ ആക്ടിംഗ് മാത്രമാണ്. (938),Transphobic-Derogation,സ്നേഹവും മാനവികതയും ആണല്ലോ നാം പഠിച്ചതോ? പിന്നെ എന്തിനു ഇങ്ങനെ വെറുപ്പ്? (938)
ഇത് എന്താ പുതിയ മോഡേ? എല്ലാവരും ട്രാൻ്സ് ആകുന്നത് ഒരു ട്രെൻഡായി മാറല്ലേ! (939),Transphobic-Derogation,വിവിധത്വം അംഗീകരിക്കാൻ നമ്മൾ പഠിക്കേണ്ട സമയം കഴിഞ്ഞു. ഇപ്പോൾ ആചാരങ്ങൾക്കപ്പുറമാണ് സമൂഹം. (939)
ഒരു പുരുഷൻ സ്ത്രീ വേഷത്തിൽ നടക്കുന്നത് കണ്ടാൽ ഭീതിയേ തോന്നൂ. (940),Transphobic-Derogation,മറ്റുള്ളവരുടെ ലൈംഗികതയെ അപമാനിച്ച് നമ്മൾ ഏതിനാണ് നേട്ടം നേടുന്നത്? (940)
ഇവർ കേവലം ശ്രദ്ധ പിടിച്ചു പിടിക്കാൻ ഇങ്ങനെ അഭിനയിക്കുന്നു. ലിംഗഭ്രാന്ത്! (941),Transphobic-Derogation,ട്രാൻസ് അല്ലെങ്കിൽ ഗേ ആയാലും അവരും മനുഷ്യരാണ്. അവർക്കും അവകാശം ഉണ്ട്. (941)
പെൺകുട്ടിയായി ജീവിക്കണമെന്ന് ഒരു ആൺകുട്ടി പറയുന്നത് ശാപം പോലെ തോന്നുന്നു. (942),Transphobic-Derogation,"അവരെ കുറ്റപ്പെടുത്തുന്നതിനു മുൻപ്, അവരുടെ ജീവിതം മനസ്സിലാക്കാൻ ശ്രമിച്ചിട്ടില്ലേ? (942)"
ട്രാൻസ് ആളുകൾക്ക് ലൈഫ് ഒക്കെ ആക്ടിംഗ് മാത്രമാണ്. (943),Transphobic-Derogation,ഇവരോട് മാന്യതയില്ലാതെ പെരുമാറുന്നത് നമുക്ക് വേണ്ടുന്ന സംസ്‌കാരമല്ല. (943)
ഇത് എന്താ പുതിയ മോഡേ? എല്ലാവരും ട്രാൻ്സ് ആകുന്നത് ഒരു ട്രെൻഡായി മാറല്ലേ! (944),Transphobic-Derogation,"ഒരു വ്യക്തിയുടെ ജൻഡറും ലൈംഗികതയും അവരുടെ വ്യക്തിത്വത്തിന്റെ ഭാഗമാണ്, ആഹാരമല്ലാത്ത കാര്യങ്ങളാണ് അവ. (944)"
ഒരു പുരുഷൻ സ്ത്രീ വേഷത്തിൽ നടക്കുന്നത് കണ്ടാൽ ഭീതിയേ തോന്നൂ. (945),Transphobic-Derogation,സ്നേഹവും മാനവികതയും ആണല്ലോ നാം പഠിച്ചതോ? പിന്നെ എന്തിനു ഇങ്ങനെ വെറുപ്പ്? (945)
ഇവർ കേവലം ശ്രദ്ധ പിടിച്ചു പിടിക്കാൻ ഇങ്ങനെ അഭിനയിക്കുന്നു. ലിംഗഭ്രാന്ത്! (946),Transphobic-Derogation,വിവിധത്വം അംഗീകരിക്കാൻ നമ്മൾ പഠിക്കേണ്ട സമയം കഴിഞ്ഞു. ഇപ്പോൾ ആചാരങ്ങൾക്കപ്പുറമാണ് സമൂഹം. (946)
പെൺകുട്ടിയായി ജീവിക്കണമെന്ന് ഒരു ആൺകുട്ടി പറയുന്നത് ശാപം പോലെ തോന്നുന്നു. (947),Transphobic-Derogation,മറ്റുള്ളവരുടെ ലൈംഗികതയെ അപമാനിച്ച് നമ്മൾ ഏതിനാണ് നേട്ടം നേടുന്നത്? (947)
ട്രാൻസ് ആളുകൾക്ക് ലൈഫ് ഒക്കെ ആക്ടിംഗ് മാത്രമാണ്. (948),Transphobic-Derogation,ട്രാൻസ് അല്ലെങ്കിൽ ഗേ ആയാലും അവരും മനുഷ്യരാണ്. അവർക്കും അവകാശം ഉണ്ട്. (948)
ഇത് എന്താ പുതിയ മോഡേ? എല്ലാവരും ട്രാൻ്സ് ആകുന്നത് ഒരു ട്രെൻഡായി മാറല്ലേ! (949),Transphobic-Derogation,"അവരെ കുറ്റപ്പെടുത്തുന്നതിനു മുൻപ്, അവരുടെ ജീവിതം മനസ്സിലാക്കാൻ ശ്രമിച്ചിട്ടില്ലേ? (949)"
ഒരു പുരുഷൻ സ്ത്രീ വേഷത്തിൽ നടക്കുന്നത് കണ്ടാൽ ഭീതിയേ തോന്നൂ. (950),Transphobic-Derogation,ഇവരോട് മാന്യതയില്ലാതെ പെരുമാറുന്നത് നമുക്ക് വേണ്ടുന്ന സംസ്‌കാരമല്ല. (950)
ഇവർ കേവലം ശ്രദ്ധ പിടിച്ചു പിടിക്കാൻ ഇങ്ങനെ അഭിനയിക്കുന്നു. ലിംഗഭ്രാന്ത്! (951),Transphobic-Derogation,"ഒരു വ്യക്തിയുടെ ജൻഡറും ലൈംഗികതയും അവരുടെ വ്യക്തിത്വത്തിന്റെ ഭാഗമാണ്, ആഹാരമല്ലാത്ത കാര്യങ്ങളാണ് അവ. (951)"
പെൺകുട്ടിയായി ജീവിക്കണമെന്ന് ഒരു ആൺകുട്ടി പറയുന്നത് ശാപം പോലെ തോന്നുന്നു. (952),Transphobic-Derogation,സ്നേഹവും മാനവികതയും ആണല്ലോ നാം പഠിച്ചതോ? പിന്നെ എന്തിനു ഇങ്ങനെ വെറുപ്പ്? (952)
ട്രാൻസ് ആളുകൾക്ക് ലൈഫ് ഒക്കെ ആക്ടിംഗ് മാത്രമാണ്. (953),Transphobic-Derogation,വിവിധത്വം അംഗീകരിക്കാൻ നമ്മൾ പഠിക്കേണ്ട സമയം കഴിഞ്ഞു. ഇപ്പോൾ ആചാരങ്ങൾക്കപ്പുറമാണ് സമൂഹം. (953)
ഇത് എന്താ പുതിയ മോഡേ? എല്ലാവരും ട്രാൻ്സ് ആകുന്നത് ഒരു ട്രെൻഡായി മാറല്ലേ! (954),Transphobic-Derogation,മറ്റുള്ളവരുടെ ലൈംഗികതയെ അപമാനിച്ച് നമ്മൾ ഏതിനാണ് നേട്ടം നേടുന്നത്? (954)
ഒരു പുരുഷൻ സ്ത്രീ വേഷത്തിൽ നടക്കുന്നത് കണ്ടാൽ ഭീതിയേ തോന്നൂ. (955),Transphobic-Derogation,ട്രാൻസ് അല്ലെങ്കിൽ ഗേ ആയാലും അവരും മനുഷ്യരാണ്. അവർക്കും അവകാശം ഉണ്ട്. (955)
ഇവർ കേവലം ശ്രദ്ധ പിടിച്ചു പിടിക്കാൻ ഇങ്ങനെ അഭിനയിക്കുന്നു. ലിംഗഭ്രാന്ത്! (956),Transphobic-Derogation,"അവരെ കുറ്റപ്പെടുത്തുന്നതിനു മുൻപ്, അവരുടെ ജീവിതം മനസ്സിലാക്കാൻ ശ്രമിച്ചിട്ടില്ലേ? (956)"
പെൺകുട്ടിയായി ജീവിക്കണമെന്ന് ഒരു ആൺകുട്ടി പറയുന്നത് ശാപം പോലെ തോന്നുന്നു. (957),Transphobic-Derogation,ഇവരോട് മാന്യതയില്ലാതെ പെരുമാറുന്നത് നമുക്ക് വേണ്ടുന്ന സംസ്‌കാരമല്ല. (957)
ട്രാൻസ് ആളുകൾക്ക് ലൈഫ് ഒക്കെ ആക്ടിംഗ് മാത്രമാണ്. (958),Transphobic-Derogation,"ഒരു വ്യക്തിയുടെ ജൻഡറും ലൈംഗികതയും അവരുടെ വ്യക്തിത്വത്തിന്റെ ഭാഗമാണ്, ആഹാരമല്ലാത്ത കാര്യങ്ങളാണ് അവ. (958)"
ഇത് എന്താ പുതിയ മോഡേ? എല്ലാവരും ട്രാൻ്സ് ആകുന്നത് ഒരു ട്രെൻഡായി മാറല്ലേ! (959),Transphobic-Derogation,സ്നേഹവും മാനവികതയും ആണല്ലോ നാം പഠിച്ചതോ? പിന്നെ എന്തിനു ഇങ്ങനെ വെറുപ്പ്? (959)
ഒരു പുരുഷൻ സ്ത്രീ വേഷത്തിൽ നടക്കുന്നത് കണ്ടാൽ ഭീതിയേ തോന്നൂ. (960),Transphobic-Derogation,വിവിധത്വം അംഗീകരിക്കാൻ നമ്മൾ പഠിക്കേണ്ട സമയം കഴിഞ്ഞു. ഇപ്പോൾ ആചാരങ്ങൾക്കപ്പുറമാണ് സമൂഹം. (960)
ഇവർ കേവലം ശ്രദ്ധ പിടിച്ചു പിടിക്കാൻ ഇങ്ങനെ അഭിനയിക്കുന്നു. ലിംഗഭ്രാന്ത്! (961),Transphobic-Derogation,മറ്റുള്ളവരുടെ ലൈംഗികതയെ അപമാനിച്ച് നമ്മൾ ഏതിനാണ് നേട്ടം നേടുന്നത്? (961)
പെൺകുട്ടിയായി ജീവിക്കണമെന്ന് ഒരു ആൺകുട്ടി പറയുന്നത് ശാപം പോലെ തോന്നുന്നു. (962),Transphobic-Derogation,ട്രാൻസ് അല്ലെങ്കിൽ ഗേ ആയാലും അവരും മനുഷ്യരാണ്. അവർക്കും അവകാശം ഉണ്ട്. (962)
ട്രാൻസ് ആളുകൾക്ക് ലൈഫ് ഒക്കെ ആക്ടിംഗ് മാത്രമാണ്. (963),Transphobic-Derogation,"അവരെ കുറ്റപ്പെടുത്തുന്നതിനു മുൻപ്, അവരുടെ ജീവിതം മനസ്സിലാക്കാൻ ശ്രമിച്ചിട്ടില്ലേ? (963)"
ഇത് എന്താ പുതിയ മോഡേ? എല്ലാവരും ട്രാൻ്സ് ആകുന്നത് ഒരു ട്രെൻഡായി മാറല്ലേ! (964),Transphobic-Derogation,ഇവരോട് മാന്യതയില്ലാതെ പെരുമാറുന്നത് നമുക്ക് വേണ്ടുന്ന സംസ്‌കാരമല്ല. (964)
ഒരു പുരുഷൻ സ്ത്രീ വേഷത്തിൽ നടക്കുന്നത് കണ്ടാൽ ഭീതിയേ തോന്നൂ. (965),Transphobic-Derogation,"ഒരു വ്യക്തിയുടെ ജൻഡറും ലൈംഗികതയും അവരുടെ വ്യക്തിത്വത്തിന്റെ ഭാഗമാണ്, ആഹാരമല്ലാത്ത കാര്യങ്ങളാണ് അവ. (965)"
ഇവർ കേവലം ശ്രദ്ധ പിടിച്ചു പിടിക്കാൻ ഇങ്ങനെ അഭിനയിക്കുന്നു. ലിംഗഭ്രാന്ത്! (966),Transphobic-Derogation,സ്നേഹവും മാനവികതയും ആണല്ലോ നാം പഠിച്ചതോ? പിന്നെ എന്തിനു ഇങ്ങനെ വെറുപ്പ്? (966)
പെൺകുട്ടിയായി ജീവിക്കണമെന്ന് ഒരു ആൺകുട്ടി പറയുന്നത് ശാപം പോലെ തോന്നുന്നു. (967),Transphobic-Derogation,വിവിധത്വം അംഗീകരിക്കാൻ നമ്മൾ പഠിക്കേണ്ട സമയം കഴിഞ്ഞു. ഇപ്പോൾ ആചാരങ്ങൾക്കപ്പുറമാണ് സമൂഹം. (967)
ട്രാൻസ് ആളുകൾക്ക് ലൈഫ് ഒക്കെ ആക്ടിംഗ് മാത്രമാണ്. (968),Transphobic-Derogation,മറ്റുള്ളവരുടെ ലൈംഗികതയെ അപമാനിച്ച് നമ്മൾ ഏതിനാണ് നേട്ടം നേടുന്നത്? (968)
ഇത് എന്താ പുതിയ മോഡേ? എല്ലാവരും ട്രാൻ്സ് ആകുന്നത് ഒരു ട്രെൻഡായി മാറല്ലേ! (969),Transphobic-Derogation,ട്രാൻസ് അല്ലെങ്കിൽ ഗേ ആയാലും അവരും മനുഷ്യരാണ്. അവർക്കും അവകാശം ഉണ്ട്. (969)
ഒരു പുരുഷൻ സ്ത്രീ വേഷത്തിൽ നടക്കുന്നത് കണ്ടാൽ ഭീതിയേ തോന്നൂ. (970),Transphobic-Derogation,"അവരെ കുറ്റപ്പെടുത്തുന്നതിനു മുൻപ്, അവരുടെ ജീവിതം മനസ്സിലാക്കാൻ ശ്രമിച്ചിട്ടില്ലേ? (970)"
ഇവർ കേവലം ശ്രദ്ധ പിടിച്ചു പിടിക്കാൻ ഇങ്ങനെ അഭിനയിക്കുന്നു. ലിംഗഭ്രാന്ത്! (971),Transphobic-Derogation,ഇവരോട് മാന്യതയില്ലാതെ പെരുമാറുന്നത് നമുക്ക് വേണ്ടുന്ന സംസ്‌കാരമല്ല. (971)
പെൺകുട്ടിയായി ജീവിക്കണമെന്ന് ഒരു ആൺകുട്ടി പറയുന്നത് ശാപം പോലെ തോന്നുന്നു. (972),Transphobic-Derogation,"ഒരു വ്യക്തിയുടെ ജൻഡറും ലൈംഗികതയും അവരുടെ വ്യക്തിത്വത്തിന്റെ ഭാഗമാണ്, ആഹാരമല്ലാത്ത കാര്യങ്ങളാണ് അവ. (972)"
ട്രാൻസ് ആളുകൾക്ക് ലൈഫ് ഒക്കെ ആക്ടിംഗ് മാത്രമാണ്. (973),Transphobic-Derogation,സ്നേഹവും മാനവികതയും ആണല്ലോ നാം പഠിച്ചതോ? പിന്നെ എന്തിനു ഇങ്ങനെ വെറുപ്പ്? (973)
ഇത് എന്താ പുതിയ മോഡേ? എല്ലാവരും ട്രാൻ്സ് ആകുന്നത് ഒരു ട്രെൻഡായി മാറല്ലേ! (974),Transphobic-Derogation,വിവിധത്വം അംഗീകരിക്കാൻ നമ്മൾ പഠിക്കേണ്ട സമയം കഴിഞ്ഞു. ഇപ്പോൾ ആചാരങ്ങൾക്കപ്പുറമാണ് സമൂഹം. (974)
ഒരു പുരുഷൻ സ്ത്രീ വേഷത്തിൽ നടക്കുന്നത് കണ്ടാൽ ഭീതിയേ തോന്നൂ. (975),Transphobic-Derogation,മറ്റുള്ളവരുടെ ലൈംഗികതയെ അപമാനിച്ച് നമ്മൾ ഏതിനാണ് നേട്ടം നേടുന്നത്? (975)
ഇവർ കേവലം ശ്രദ്ധ പിടിച്ചു പിടിക്കാൻ ഇങ്ങനെ അഭിനയിക്കുന്നു. ലിംഗഭ്രാന്ത്! (976),Transphobic-Derogation,ട്രാൻസ് അല്ലെങ്കിൽ ഗേ ആയാലും അവരും മനുഷ്യരാണ്. അവർക്കും അവകാശം ഉണ്ട്. (976)
പെൺകുട്ടിയായി ജീവിക്കണമെന്ന് ഒരു ആൺകുട്ടി പറയുന്നത് ശാപം പോലെ തോന്നുന്നു. (977),Transphobic-Derogation,"അവരെ കുറ്റപ്പെടുത്തുന്നതിനു മുൻപ്, അവരുടെ ജീവിതം മനസ്സിലാക്കാൻ ശ്രമിച്ചിട്ടില്ലേ? (977)"
ട്രാൻസ് ആളുകൾക്ക് ലൈഫ് ഒക്കെ ആക്ടിംഗ് മാത്രമാണ്. (978),Transphobic-Derogation,ഇവരോട് മാന്യതയില്ലാതെ പെരുമാറുന്നത് നമുക്ക് വേണ്ടുന്ന സംസ്‌കാരമല്ല. (978)
ഇത് എന്താ പുതിയ മോഡേ? എല്ലാവരും ട്രാൻ്സ് ആകുന്നത് ഒരു ട്രെൻഡായി മാറല്ലേ! (979),Transphobic-Derogation,"ഒരു വ്യക്തിയുടെ ജൻഡറും ലൈംഗികതയും അവരുടെ വ്യക്തിത്വത്തിന്റെ ഭാഗമാണ്, ആഹാരമല്ലാത്ത കാര്യങ്ങളാണ് അവ. (979)"
ഒരു പുരുഷൻ സ്ത്രീ വേഷത്തിൽ നടക്കുന്നത് കണ്ടാൽ ഭീതിയേ തോന്നൂ. (980),Transphobic-Derogation,സ്നേഹവും മാനവികതയും ആണല്ലോ നാം പഠിച്ചതോ? പിന്നെ എന്തിനു ഇങ്ങനെ വെറുപ്പ്? (980)
ഇവർ കേവലം ശ്രദ്ധ പിടിച്ചു പിടിക്കാൻ ഇങ്ങനെ അഭിനയിക്കുന്നു. ലിംഗഭ്രാന്ത്! (981),Transphobic-Derogation,വിവിധത്വം അംഗീകരിക്കാൻ നമ്മൾ പഠിക്കേണ്ട സമയം കഴിഞ്ഞു. ഇപ്പോൾ ആചാരങ്ങൾക്കപ്പുറമാണ് സമൂഹം. (981)
പെൺകുട്ടിയായി ജീവിക്കണമെന്ന് ഒരു ആൺകുട്ടി പറയുന്നത് ശാപം പോലെ തോന്നുന്നു. (982),Transphobic-Derogation,മറ്റുള്ളവരുടെ ലൈംഗികതയെ അപമാനിച്ച് നമ്മൾ ഏതിനാണ് നേട്ടം നേടുന്നത്? (982)
ട്രാൻസ് ആളുകൾക്ക് ലൈഫ് ഒക്കെ ആക്ടിംഗ് മാത്രമാണ്. (983),Transphobic-Derogation,ട്രാൻസ് അല്ലെങ്കിൽ ഗേ ആയാലും അവരും മനുഷ്യരാണ്. അവർക്കും അവകാശം ഉണ്ട്. (983)
ഇത് എന്താ പുതിയ മോഡേ? എല്ലാവരും ട്രാൻ്സ് ആകുന്നത് ഒരു ട്രെൻഡായി മാറല്ലേ! (984),Transphobic-Derogation,"അവരെ കുറ്റപ്പെടുത്തുന്നതിനു മുൻപ്, അവരുടെ ജീവിതം മനസ്സിലാക്കാൻ ശ്രമിച്ചിട്ടില്ലേ? (984)"
ഒരു പുരുഷൻ സ്ത്രീ വേഷത്തിൽ നടക്കുന്നത് കണ്ടാൽ ഭീതിയേ തോന്നൂ. (985),Transphobic-Derogation,ഇവരോട് മാന്യതയില്ലാതെ പെരുമാറുന്നത് നമുക്ക് വേണ്ടുന്ന സംസ്‌കാരമല്ല. (985)
ഇവർ കേവലം ശ്രദ്ധ പിടിച്ചു പിടിക്കാൻ ഇങ്ങനെ അഭിനയിക്കുന്നു. ലിംഗഭ്രാന്ത്! (986),Transphobic-Derogation,"ഒരു വ്യക്തിയുടെ ജൻഡറും ലൈംഗികതയും അവരുടെ വ്യക്തിത്വത്തിന്റെ ഭാഗമാണ്, ആഹാരമല്ലാത്ത കാര്യങ്ങളാണ് അവ. (986)"
പെൺകുട്ടിയായി ജീവിക്കണമെന്ന് ഒരു ആൺകുട്ടി പറയുന്നത് ശാപം പോലെ തോന്നുന്നു. (987),Transphobic-Derogation,സ്നേഹവും മാനവികതയും ആണല്ലോ നാം പഠിച്ചതോ? പിന്നെ എന്തിനു ഇങ്ങനെ വെറുപ്പ്? (987)
ട്രാൻസ് ആളുകൾക്ക് ലൈഫ് ഒക്കെ ആക്ടിംഗ് മാത്രമാണ്. (988),Transphobic-Derogation,വിവിധത്വം അംഗീകരിക്കാൻ നമ്മൾ പഠിക്കേണ്ട സമയം കഴിഞ്ഞു. ഇപ്പോൾ ആചാരങ്ങൾക്കപ്പുറമാണ് സമൂഹം. (988)
ഇത് എന്താ പുതിയ മോഡേ? എല്ലാവരും ട്രാൻ്സ് ആകുന്നത് ഒരു ട്രെൻഡായി മാറല്ലേ! (989),Transphobic-Derogation,മറ്റുള്ളവരുടെ ലൈംഗികതയെ അപമാനിച്ച് നമ്മൾ ഏതിനാണ് നേട്ടം നേടുന്നത്? (989)
ഒരു പുരുഷൻ സ്ത്രീ വേഷത്തിൽ നടക്കുന്നത് കണ്ടാൽ ഭീതിയേ തോന്നൂ. (990),Transphobic-Derogation,ട്രാൻസ് അല്ലെങ്കിൽ ഗേ ആയാലും അവരും മനുഷ്യരാണ്. അവർക്കും അവകാശം ഉണ്ട്. (990)
ഇവർ കേവലം ശ്രദ്ധ പിടിച്ചു പിടിക്കാൻ ഇങ്ങനെ അഭിനയിക്കുന്നു. ലിംഗഭ്രാന്ത്! (991),Transphobic-Derogation,"അവരെ കുറ്റപ്പെടുത്തുന്നതിനു മുൻപ്, അവരുടെ ജീവിതം മനസ്സിലാക്കാൻ ശ്രമിച്ചിട്ടില്ലേ? (991)"
പെൺകുട്ടിയായി ജീവിക്കണമെന്ന് ഒരു ആൺകുട്ടി പറയുന്നത് ശാപം പോലെ തോന്നുന്നു. (992),Transphobic-Derogation,ഇവരോട് മാന്യതയില്ലാതെ പെരുമാറുന്നത് നമുക്ക് വേണ്ടുന്ന സംസ്‌കാരമല്ല. (992)
ട്രാൻസ് ആളുകൾക്ക് ലൈഫ് ഒക്കെ ആക്ടിംഗ് മാത്രമാണ്. (993),Transphobic-Derogation,"ഒരു വ്യക്തിയുടെ ജൻഡറും ലൈംഗികതയും അവരുടെ വ്യക്തിത്വത്തിന്റെ ഭാഗമാണ്, ആഹാരമല്ലാത്ത കാര്യങ്ങളാണ് അവ. (993)"
ഇത് എന്താ പുതിയ മോഡേ? എല്ലാവരും ട്രാൻ്സ് ആകുന്നത് ഒരു ട്രെൻഡായി മാറല്ലേ! (994),Transphobic-Derogation,സ്നേഹവും മാനവികതയും ആണല്ലോ നാം പഠിച്ചതോ? പിന്നെ എന്തിനു ഇങ്ങനെ വെറുപ്പ്? (994)
